                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.67926,                0.40503,                 1.0858,                0.76302,                0.57292,                0.61064,                0.41974,                    nan,                    inf,                    nan,               0.005248,               0.005248,               0.005248
                     38,                0.67433,                0.39913,                 1.0813,                0.89671,                0.49736,                0.56465,                0.39507,                    nan,                    inf,                    nan,               0.005116,               0.005116,               0.005116
                     39,                 0.6638,                0.38604,                  1.074,                  0.772,                0.52907,                0.61484,                0.42569,                    nan,                    inf,                    nan,               0.004984,               0.004984,               0.004984
                     40,                0.65911,                0.38725,                 1.0649,                0.71801,                0.49479,                0.56017,                0.38579,                    nan,                    inf,                    nan,               0.004852,               0.004852,               0.004852
                     41,                0.65439,                0.37685,                 1.0548,                0.77155,                0.53125,                0.56058,                0.38835,                    nan,                    inf,                    nan,                0.00472,                0.00472,                0.00472
                     42,                0.64409,                 0.3777,                 1.0547,                0.74324,                0.64583,                0.69741,                0.44367,                    nan,                    inf,                    nan,               0.004588,               0.004588,               0.004588
                     43,                0.64455,                0.38408,                 1.0635,                0.78889,                0.60334,                0.71878,                0.47239,                    nan,                    inf,                    nan,               0.004456,               0.004456,               0.004456
                     44,                0.64203,                0.37262,                 1.0538,                0.80239,                0.57292,                0.67526,                0.45265,                    nan,                    inf,                    nan,               0.004324,               0.004324,               0.004324
                     45,                0.63013,                0.37536,                 1.0504,                0.78994,                 0.7247,                0.82066,                0.52876,                    nan,                    inf,                    nan,               0.004192,               0.004192,               0.004192
                     46,                0.63333,                0.37165,                 1.0573,                0.77203,                0.65262,                0.71897,                0.48026,                    nan,                    inf,                    nan,                0.00406,                0.00406,                0.00406
                     47,                0.62986,                0.37022,                 1.0672,                0.84764,                 0.7244,                0.78168,                0.49243,                    nan,                    inf,                    nan,               0.003928,               0.003928,               0.003928
                     48,                0.62588,                0.36352,                 1.0468,                0.87885,                0.68012,                 0.7839,                0.49775,                    nan,                    inf,                    nan,               0.003796,               0.003796,               0.003796
                     49,                0.62875,                0.36192,                 1.0572,                0.81383,                0.54643,                0.61375,                0.42595,                    nan,                    inf,                    nan,               0.003664,               0.003664,               0.003664
                     50,                0.61257,                0.35474,                 1.0457,                0.76946,                0.60843,                0.73242,                0.49136,                    nan,                    inf,                    nan,               0.003532,               0.003532,               0.003532
                     51,                 0.6125,                0.35796,                 1.0493,                0.79948,                0.58333,                0.65132,                0.44227,                    nan,                    inf,                    nan,                 0.0034,                 0.0034,                 0.0034
                     52,                0.60574,                0.35509,                 1.0447,                0.84079,                0.63021,                0.72507,                0.45756,                    nan,                    inf,                    nan,               0.003268,               0.003268,               0.003268
                     53,                0.60906,                0.34821,                   1.04,                0.86596,                 0.7739,                0.81721,                0.50273,                    nan,                    inf,                    nan,               0.003136,               0.003136,               0.003136
